Wed Sep 09 05:34:10 +0000 2015,0
Wed Sep 09 05:34:10 +0000 2015,0.375
Wed Sep 09 05:34:11 +0000 2015,0.0625
Wed Sep 09 05:34:11 +0000 2015,-0.25
Wed Sep 09 05:34:13 +0000 2015,-0.09375
Wed Sep 09 05:34:15 +0000 2015,0
Wed Sep 09 05:34:19 +0000 2015,0
Wed Sep 09 05:34:19 +0000 2015,0.5
Wed Sep 09 05:34:20 +0000 2015,0.3125
Wed Sep 09 05:34:20 +0000 2015,0
Wed Sep 09 05:34:20 +0000 2015,-0.375
Wed Sep 09 05:34:20 +0000 2015,0.0833333333333
Wed Sep 09 05:34:21 +0000 2015,0
Wed Sep 09 05:34:23 +0000 2015,0
Wed Sep 09 05:34:28 +0000 2015,0
Wed Sep 09 05:34:30 +0000 2015,-0.375
Wed Sep 09 05:34:32 +0000 2015,0
Wed Sep 09 05:34:32 +0000 2015,0.375
Wed Sep 09 05:34:33 +0000 2015,0.625
Wed Sep 09 05:34:33 +0000 2015,0
Wed Sep 09 05:34:34 +0000 2015,-0.0833333333333
Wed Sep 09 05:34:40 +0000 2015,0.5
Wed Sep 09 05:34:41 +0000 2015,0.4375
Wed Sep 09 05:34:41 +0000 2015,-0.375
Wed Sep 09 05:34:44 +0000 2015,0.1875
Wed Sep 09 05:34:45 +0000 2015,0
Wed Sep 09 05:34:48 +0000 2015,0.5
Wed Sep 09 05:34:48 +0000 2015,-0.375
Wed Sep 09 05:35:02 +0000 2015,-0.375
Wed Sep 09 05:35:03 +0000 2015,-0.25
Wed Sep 09 05:35:04 +0000 2015,0.5
Wed Sep 09 05:35:04 +0000 2015,-0.375
Wed Sep 09 05:35:05 +0000 2015,-0.25
Wed Sep 09 05:35:06 +0000 2015,-0.0833333333333
Wed Sep 09 05:35:08 +0000 2015,-0.3125
Wed Sep 09 05:35:10 +0000 2015,0
Wed Sep 09 05:35:10 +0000 2015,0.5
Wed Sep 09 05:35:12 +0000 2015,-0.625
Wed Sep 09 05:35:14 +0000 2015,0
Wed Sep 09 05:35:15 +0000 2015,0.375
Wed Sep 09 05:35:21 +0000 2015,-0.375
Wed Sep 09 05:35:21 +0000 2015,0
Wed Sep 09 05:35:22 +0000 2015,0.375
Wed Sep 09 05:35:22 +0000 2015,0.375
Wed Sep 09 05:35:22 +0000 2015,0
Wed Sep 09 05:35:23 +0000 2015,-0.0625
Wed Sep 09 05:35:23 +0000 2015,0.0833333333333
Wed Sep 09 05:35:24 +0000 2015,0.5
Wed Sep 09 05:35:25 +0000 2015,-0.25
Wed Sep 09 05:35:28 +0000 2015,0.3125
Wed Sep 09 05:35:28 +0000 2015,0.3125
Wed Sep 09 05:35:29 +0000 2015,0.5
Wed Sep 09 05:35:30 +0000 2015,0.5
Wed Sep 09 05:35:32 +0000 2015,0
Wed Sep 09 05:35:32 +0000 2015,0.1875
Wed Sep 09 05:35:45 +0000 2015,0
Wed Sep 09 05:35:52 +0000 2015,0
Wed Sep 09 05:35:53 +0000 2015,-0.25
Wed Sep 09 05:35:55 +0000 2015,-0.375
Wed Sep 09 05:35:58 +0000 2015,0
Wed Sep 09 05:35:59 +0000 2015,0.375
Wed Sep 09 05:36:00 +0000 2015,0.25
Wed Sep 09 05:36:00 +0000 2015,0
Wed Sep 09 05:36:01 +0000 2015,-0.375
Wed Sep 09 05:36:02 +0000 2015,0.625
Wed Sep 09 05:36:03 +0000 2015,-0.0625
Wed Sep 09 05:36:07 +0000 2015,-0.375
Wed Sep 09 05:36:09 +0000 2015,-0.375
Wed Sep 09 05:36:11 +0000 2015,0.0625
